1,Santiago de Compostela,STG,2021-11-11 03:55:24,Alicante,ALC,2021-11-11 04:45:24,2
2,Bilbao,BIO,2021-12-27 13:21:10,Alicante,ALC,2021-12-27 14:11:10,8
3,Valencia,VLC,2022-01-28 19:38:38,Madrid,MAD,2022-01-28 20:28:38,7
4,Madrid,MAD,2022-02-23 21:56:37,Sevilla,SVQ,2022-02-23 22:46:37,2
5,Alicante,ALC,2022-08-24 20:45:44,Barcelona,BCN,2022-08-24 21:35:44,4
6,Sevilla,SVQ,2022-02-06 04:07:14,Alicante,ALC,2022-02-06 04:57:14,2
7,Santiago de Compostela,STG,2022-03-20 12:13:28,A Coruña,LCG,2022-03-20 13:03:28,3
8,Santiago de Compostela,STG,2022-08-19 04:15:03,Valencia,VLC,2022-08-19 05:05:03,10
9,Barcelona,BCN,2022-01-26 08:23:55,Malaga,AGP,2022-01-26 09:13:55,2
10,Valencia,VLC,2021-10-20 09:47:19,Madrid,MAD,2021-10-20 10:37:19,7
11,Alicante,ALC,2022-01-27 21:45:51,A Coruña,LCG,2022-01-27 22:35:51,8
12,Valencia,VLC,2022-02-04 09:55:44,Malaga,AGP,2022-02-04 10:45:44,1
13,Sevilla,SVQ,2022-06-22 13:41:32,Sevilla,SVQ,2022-06-22 14:31:32,2
14,Barcelona,BCN,2022-08-25 09:05:29,Sevilla,SVQ,2022-08-25 09:55:29,7
15,Barcelona,BCN,2021-10-27 02:03:28,Sevilla,SVQ,2021-10-27 02:53:28,7
16,Malaga,AGP,2021-11-13 15:44:13,Valencia,VLC,2021-11-13 16:34:13,2
17,Alicante,ALC,2021-10-24 18:01:42,Alicante,ALC,2021-10-24 18:51:42,3
18,Santiago de Compostela,STG,2021-11-01 19:23:09,Barcelona,BCN,2021-11-01 20:13:09,3
19,Alicante,ALC,2022-02-18 06:04:41,Sevilla,SVQ,2022-02-18 06:54:41,8
20,Alicante,ALC,2022-06-28 07:57:24,Bilbao,BIO,2022-06-28 08:47:24,2
21,Barcelona,BCN,2022-01-04 00:16:09,Malaga,AGP,2022-01-04 01:06:09,1
22,Barcelona,BCN,2022-05-11 20:51:13,Barcelona,BCN,2022-05-11 21:41:13,1
23,Barcelona,BCN,2021-10-19 15:00:07,Valencia,VLC,2021-10-19 15:50:07,4
24,Alicante,ALC,2022-07-14 11:30:04,Sevilla,SVQ,2022-07-14 12:20:04,1
25,Santiago de Compostela,STG,2022-04-30 13:36:29,Bilbao,BIO,2022-04-30 14:26:29,7
26,Sevilla,SVQ,2021-10-07 02:58:03,Madrid,MAD,2021-10-07 03:48:03,9
27,Sevilla,SVQ,2022-05-30 08:57:10,Valencia,VLC,2022-05-30 09:47:10,6
28,Valencia,VLC,2022-05-28 11:15:49,Malaga,AGP,2022-05-28 12:05:49,1
